suffix,average score
cm,9.790027806
pro,7.870634986
dk,6.242127508
ph,4.86024526
nl,3.728077467
id,3.359777476
au,3.238277341
eu,3.093179574
ca,3.033813901
win,2.96154198
com,2.893179215
tw,2.886337816
de,2.880175126
xn--p1ai,2.830322966
br,2.724854908
me,2.678325284
edu,2.563739043
uk,2.561184947
es,2.555499346
org,2.447345618
cz,2.435794658
fr,2.398783697
pl,2.227796901
in,2.226059905
co,2.178447829
it,1.961789107
ru,1.871384234
online,1.794049019
net,1.728012178
ro,1.666240956
cn,1.652180423
ua,1.642586782
be,1.628833291
info,1.486888966
xyz,1.433976307
us,1.300949681
se,1.294132739
site,1.285579288
one,1.277264339
tv,1.261225248
kr,1.242326867
jp,1.235844448
ga,1.200113909
tk,1.158141934
biz,1.140569319
ml,1.131776739
cf,1.091255012
pw,1.040071441
gq,1.026754587
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
