suffix,count,
com,87007459,
net,12124378,
org,8495458,
ru,7120181,
de,3126062,
info,2838109,
se,2443967,
biz,2152591,
fr,1803860,
jp,1646055,
it,1451008,
nl,1429353,
us,1265043,
uk,1254177,
kr,1099870,
co,801059,
br,738122,
eu,721812,
be,716408,
in,697732,
cn,620948,
ca,606095,
pl,578274,
ua,560703,
tk,481039,
xyz,448946,
tw,443762,
au,404716,
dk,318722,
win,287435,
id,266424,
cz,205254,
ml,161121,
cm,153206,
ro,149554,
site,138627,
ph,137405,
one,136011,
cf,131927,
es,124533,
ga,122905,
pro,120790,
gq,113588,
tv,113071,
edu,110317,
online,107142,
pw,105262,
xn--p1ai,102147,
me,100841,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
